,product_name,brand_name,current_price,original_price,discounted,number_of_reviews,number_of_stars,product_shipping,page,page_rank
1,Spigen Slim Armor CS Designed for Apple iPhone 8 Case (2017) / Designed for iPhone 7 Case (2016) - Rose Gold,Spigen,$15.99,$15.99,False,"3,360",4.4 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,1
2,Spigen Tough Armor [2nd Generation] Designed for Apple iPhone 8 Case (2017) / Designed for iPhone 7 Case (2016) - Black,Spigen,$15.99,$15.99,False,"1,544",4.6 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,2
3,Spigen Ultra Hybrid [2nd Generation] Designed for Apple iPhone 7 Case (2016) / Designed for iPhone 8 Case (2017) - Black,Spigen,$11.99,$11.99,False,"2,973",4.4 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,3
4,Spigen Ultra Hybrid Designed for Apple iPhone Xs Case (2018) / Designed for Apple iPhone X Case (2017) - Matte Black,Spigen,$11.99,$11.99,False,"7,683",4.3 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,4
5,Spigen Tough Armor [2nd Generation] Designed for Apple iPhone 8 Plus Case (2017) / Designed for iPhone 7 Plus Case (2016) - Black,Spigen,$15.99,$15.99,False,"2,953",4.5 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,5
6,Spigen Tough Armor Designed for Apple iPhone 6S Case (2015) - Gunmetal,Spigen,$16.99,$34.99,True,"4,955",4.6 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,6
7,Spigen Ultra Hybrid Designed for Apple iPhone XR Case (2018) - Red,Spigen,$14.99,$14.99,False,"2,437",4.4 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,7
8,Spigen Slim Armor CS Designed for iPhone Xs Case (2018) / Designed for iPhone X Case (2017) - Black,Spigen,$15.99,$15.99,False,696,4.3 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,8
9,Spigen Tough Armor Designed for Apple iPhone Xs Case (2018) / Designed for Apple iPhone X Case (2017) - Matte Black,Spigen,$15.99,$15.99,False,"1,628",4.6 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,9
10,Spigen Liquid Air Armor Designed for Apple iPhone Xs Case (2018) / Designed for Apple iPhone X Case (2017) - Matte Black,Spigen,$11.99,$14.99,True,"1,084",4.5 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,10
11,Spigen Ultra Hybrid [2nd Generation] Designed for Apple iPhone 8 Plus Case (2017) / Designed for iPhone 7 Plus Case (2016) - Black,Spigen,$11.99,$11.99,False,"3,212",4.3 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,11
12,Spigen Ultra Hybrid Designed for Apple iPhone Xs MAX Case (2018) - Crystal Clear,Spigen,$12.99,$29.99,True,"1,583",4.3 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,12
13,Spigen Tough Armor Designed for Apple iPhone XR Case (2018) - Gunmetal,Spigen,$17.99,$17.99,False,"1,153",4.7 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,13
14,Spigen Liquid Air Armor Designed for Apple iPhone XR Case (2018) - Matte Black,Spigen,$11.99,$14.99,True,431,4.6 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,14
15,Spigen Slim Armor Designed for Apple iPhone 5S Case (2013) / Designed for iPhone SE Case (2017) / Designed for iPhone5 Case (2012) - Metal Slate,Spigen,$13.99,$24.99,True,"1,812",4.5 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,15
16,Spigen Neo Hybrid Designed for Apple iPhone 8 Case (2017) / Designed for iPhone 7 Case (2016) - Gunmetal,Spigen,$13.99,$13.99,False,476,4.3 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,16
17,Spigen Rugged Armor Designed for Apple iPhone 8 Case (2017) / Designed for iPhone 7 Case (2016) - Black,Spigen,$11.99,$19.99,True,"1,081",4.6 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,17
18,Spigen Tough Armor Designed for Apple iPhone 6S Plus Case (2015) - Gunmetal,Spigen,$17.99,$34.99,True,"1,833",4.3 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,18
19,Spigen Tough Armor Designed for Apple iPhone Xs MAX Case (2018) - Black,Spigen,$16.99,$16.99,False,405,4.6 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,19
20,Spigen Ultra Hybrid Designed for Apple iPhone 6S Case (2015) - Crystal Clear,Spigen,$11.49,$24.99,True,"5,463",4.4 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,20
21,Spigen Thin Fit Hybrid Designed for Apple iPhone 6S Case (2015) - Rose Gold,Spigen,$10.99,$10.99,False,450,4.3 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,21
22,Spigen Tough Armor Desigend for Apple iPhone SE Case (2016) / Designed for iPhone 5S Case (2013) / Designed for iPhone 5 Case (2012) - Metal Slate,Spigen,$15.99,$29.99,True,"10,169",4.6 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,22
23,Spigen Rugged Armor Designed for Apple iPhone Xs Case (2018) / Designed for Apple iPhone X Case (2017) - Matte Black,Spigen,$11.99,$11.99,False,935,4.7 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,23
24,Spigen Liquid Air Armor Designed for iPhone Xs MAX Case (2018) - Matte Black,Spigen,$11.99,$11.99,False,253,4.6 out of 5 stars,['Usually ships within 6 to 10 days.'],1,24
25,Spigen Rugged Armor Designed for Apple iPhone XR Case (2018) - Matte Black,Spigen,$11.99,$11.99,False,200,4.7 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,25
26,Spigen Rugged Armor Designed for iPhone 8 Plus Case (2017) / Designed for iPhone 7 Plus Case (2016) - Black,Spigen,$11.99,$19.99,True,"1,193",4.6 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,26
27,Spigen Thin Fit Designed for Apple iPhone SE Case (2016) - Black,Spigen,$9.99,$9.99,False,346,4.3 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,27
28,Spigen Neo Hybrid Designed for iPhone Xs Case (2018) / Designed for iPhone X Case (2017) - Gunmetal,Spigen,$14.99,$14.99,False,116,4.1 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,28
29,Spigen Liquid Crystal Designed for Apple iPhone XR Case (2018) - Glitter Crystal Quartz,Spigen,$13.99,$13.99,False,208,4.6 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,29
30,"iPhone 6s Plus Case, Spigen [Ultra Hybrid] AIR CUSHION [Crystal Clear] Clear back panel + TPU bumper for iPhone 6 Plus (2014) / 6s Plus (2015) - Crystal Clear (SGP11644)",Spigen,$11.99,$24.99,True,"1,066",4.5 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,30
31,Spigen Tough Armor XP Designed for Apple iPhone XR Case (2018) - Black,Spigen,$17.99,$17.99,False,46,4.5 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,31
32,Spigen Thin Fit Designed for Apple iPhone Xs Case (2018) / Designed for Apple iPhone X Case (2017) - Matte Black,Spigen,$10.99,$10.99,False,"1,587",3.7 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,32
33,Spigen Neo Hybrid Designed for Apple iPhone 8 Plus Case (2017) / Designed for iPhone 7 Plus Case (2016) - Champagne Gold & Burgundy,Spigen,$15.99,$15.99,False,619,4.3 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,33
34,Spigen Liquid Crystal Designed for Apple iPhone Xs MAX Case (2018) - Crystal Clear,Spigen,$11.99,$11.99,False,319,4.4 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,34
35,Spigen Slim Armor CS designed for Apple iPhone 8 Plus Case (2017) / designed for iPhone 7 Plus Case (2016) - Black,Spigen,$15.99,$15.99,False,"1,258",4.3 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,35
36,Spigen Tough Armor Designed for Apple iPhone 6sCase / Designed for iPhone 6 (2014) - Gunmetal,Spigen,$16.99,$34.99,True,"4,349",4.5 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,36
37,Spigen Liquid Crystal Designed for Apple iPhone Xs Case (2018) / Designed for Apple iPhone X Case (2017) - Crystal Clear,Spigen,$11.99,$14.99,True,953,4.2 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,37
